#depth [mm]	Age [ka]	ageerr [ka]	d18O [permil]
114.75	106460	122	-9.3
114.5	106465	122	-9.16
114.25	106471	122	-9.32
114	106476	121	-9.28
113.75	106481	121	-9.24
113.5	106487	121	-9.21
113.25	106492	121	-9.33
113	106498	121	-9.28
112.75	106503	121	-9.33
112.5	106508	121	-9.37
112.25	106514	121	-9.14
112	106519	121	-9.27
111.75	106524	121	-9.12
111.5	106530	121	-9.2
111.25	106535	121	-9.25
111	106541	121	-9.39
110.75	106547	121	-9.28
110.5	106552	121	-9.34
110.25	106558	121	-9.47
110	106564	121	-9.54
109.75	106569	121	-9.46
109.5	106575	121	-9.32
109.25	106581	121	-9.18
109	106586	121	-9.15
108.75	106591	121	-9.22
108.5	106597	121	-9.06
108.25	106602	121	-9.31
108	106608	121	-9.45
107.75	106614	121	-9.48
107.5	106619	121	-9.46
107.25	106625	121	-9.52
107	106631	121	-9.65
106.75	106636	121	-9.7
106.5	106642	121	-9.76
106.25	106648	121	-9.73
106	106652	121	-9.77
105.75	106657	121	-9.72
105.5	106662	121	-9.6
105.25	106667	121	-9.62
105	106673	121	-9.69
104.75	106678	121	-9.7
104.5	106683	121	-9.69
104.25	106688	121	-9.86
104	106693	121	-9.86
103.75	106698	121	-10
103.5	106703	121	-9.95
103.25	106708	121	-9.69
103	106714	121	-9.43
102.75	106719	121	-8.97
