# DESCRIPTION:
# Reference: Rasmussen, S.O., Bigler, M., Blockley, S.P., Blunier, T., Buchardt, S.L., Clausen, H.B., Cvijanovic, I., Dahl-Jensen, D., Johnsen, S.J., Fischer, H., Gkinis, V., Guillevic, M., Hoek, W.Z., Lowe, J.J., Pedro, J.B., Popp, T., Seierstad, I.K., Steffensen, J.P., Svensson, A.M., Vallelonga, P., Vinther, B.M., Walker, M.J.C., Wheatley, J.J., Winstrup, M., 2014. A stratigraphic framework for abrupt climatic changes during the Last Glacial period based on three synchronized Greenland ice-core records: refining and extending the INTIMATE event stratigraphy. Quaternary Science Reviews 106, 14-28, https://doi.org/10.1016/j.quascirev.2014.09.007
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 28 Oct 2022.
# Comment: NGRIP1 and NGRIP2 were combined, double dates were removed, years were converted to kyr

Age [kyr b2k] (GICC05),δ18O [‰],Ca2+ [ppb]
14.01,-39.73,77.76
14.03,-40.21,99.76
14.05,-39.9,87.27
14.07,-40.95,41.82
14.09,-38.05,34.77
14.11,-38.34,32.39
14.13,-38.01,29.03
14.15,-38.68,27.55
14.17,-38.03,36.33
14.19,-37.59,30.27
14.21,-37.46,31.09
14.23,-38.43,26.4
14.25,-37.76,27.24
14.27,-37.19,38.5
14.29,-37.14,28.13
14.31,-37.05,23.9
14.33,-37.54,30.86
14.35,-36.81,25.68
14.37,-37.5,30.57
14.39,-36.07,29.93
14.41,-37.17,31.96
14.43,-37.29,30.84
14.45,-37.04,30.47
14.47,-36.86,29.19
14.49,-36.27,31.25
14.51,-36.11,34.77
14.53,-36.13,26.79
14.55,-36.14,27.47
14.57,-36.97,26.89
14.59,-35.82,25.84
14.61,-36.74,33.47
14.63,-37.48,37.09
14.65,-37.52,33.51
14.67,-37.97,48.79
14.69,-40.65,94.82
14.71,-41.97,124.56
14.73,-42.48,152.42
14.75,-40.82,141.45
14.77,-41.04,176.65
14.79,-39.91,141.54
14.81,-40.69,146.69
14.83,-42.43,159.6
14.85,-40.79,168.63
14.87,-41.16,180.02
14.89,-40.15,185.74
14.91,-41.46,165.14
14.93,-41.77,185.61
14.95,-41.67,170.85
14.97,-40.88,173.98
14.99,-42.62,223.89
15.01,-42.38,257.73
15.03,-41.51,187.47
15.05,-43.17,181.69
15.07,-39.96,191.89
15.09,-43.51,221.98
15.11,-42.74,244.55
15.13,-40.05,173.01
15.15,-42.33,198.29
15.17,-42.99,189.03
15.19,-42.07,236.16
15.21,-40.56,222.86
15.23,-43.55,247.61
15.25,-40.62,216.08
15.27,-44.9,219.87
15.29,-41.98,262.61
15.31,-41.3,183.24
15.33,-42.09,154.68
15.35,-40.76,152.36
15.37,-40.69,178.17
15.39,-39.95,182.56
15.41,-43.31,199.25
15.43,-42.4,207.15
15.45,-42.88,
15.47,-41.6,181.36
15.49,-41.97,205.61
15.51,-43.56,190.2
15.53,-41.86,154.84
15.55,-43.24,172.22
15.57,-44.54,218.98
15.59,-42.33,191.43
15.61,-42.18,176.63
15.63,-42.11,165.31
15.65,-42.2,214.37
15.67,-40.41,245.02
15.69,-43.53,219.56
15.71,-43.05,175.1
15.73,-44.62,178.75
15.75,-42.8,197.98
15.77,-43.97,272.25
15.79,-43.88,190.19
15.81,-40.19,195.88
15.83,-41.7,188.4
15.85,-41.16,223.89
15.87,-40.81,158.99
15.89,-43.18,243.15
15.91,-42.95,245.44
15.93,-41.55,188.09
15.95,-40.54,195.83
15.97,-41.6,272.34
15.99,-41.97,286.47
16.01,-42.27,245.69
16.03,-41.41,212.48
16.05,-41.3,267.42
16.07,-42.99,263.88
16.09,-44.96,315.96
16.11,-43.25,261.88
16.13,-40.32,268.75
16.15,-43.59,293.41
16.17,-41.85,313.76
16.19,-41.71,295.27
16.21,-44.23,
16.23,-39.89,238.11
16.25,-42.39,218.5
16.27,-41.99,297.26
16.29,-40.77,218.7
16.31,-42.07,209.83
16.33,-42.3,254.95
16.35,-42.52,221.06
16.37,-39.76,245.16
16.39,-42.77,304.35
16.41,-41.65,231.3
16.43,-40.73,268.94
16.45,-42.6,300.83
16.47,-41.23,275.77
16.49,-41.19,308.02
16.51,-38.3,203.27
16.53,-40.37,239.95
16.55,-41.69,272.01
16.57,-41.5,337.71
16.59,-40.6,289.29
16.61,-42.78,288.55
16.63,-42.79,287.04
16.65,-40.88,239.74
16.67,-41.56,274.67
16.69,-40.65,298.52
16.71,-42.7,317.66
16.73,-39.38,223.29
16.75,-40.73,318.36
16.77,-41.77,319.64
16.79,-40.93,262.37
16.81,-39.27,257.54
16.83,-40.63,265.41
16.85,-39.46,207
16.87,-40.34,247.94
16.89,-40.3,287.36
16.91,-42.12,271.1
16.93,-41.22,326.54
16.95,-42.42,305.46
16.97,-40.7,325.25
16.99,-42.11,336.08
17.01,-40.4,249.89
17.03,-42.28,283.8
17.05,-39.99,278.92
17.07,-39.76,266.35
17.09,-38.99,257.15
17.11,-42.38,297.53
17.13,-39.84,278.24
17.15,-40.22,235.63
17.17,-40.5,249.08
